X_upper, Y_upper, Ð¥_lower, Y_lower
       ,        , 60.0   , -3.89
65.0   , 3.840  , 65.0   , -3.31
67.5   , 3.690  , 67.5   , -2.87
70.5   , 3.520  , 67.5   , -2.60
73.0   , 3.325  , 67.5   , -2.00
75.5   , 3.125  , 67.85  , -1.00
77.5   , 2.960  , 69.0   , 0.23
79.0   , 2.813  , 70.7   , 1.20
80.25  , 2.705  , 73.0   , 1.95
81.3   , 2.605  , 75.5   , 2.35
82.1   , 2.530  , 77.5   , 2.49
82.5   , 2.490  , 79.0   , 2.52
       , 80.25  , 2.52   , 
       , 81.3   , 2.50   , 
       , 82.1   , 2.45   , 
       , 82.5   , 2.41   , 