alpha, cl
-9.814908508305727, 1.1561683109874341
-8.979677881777327, 1.2936166624504586
-8.33544143688313, 1.3723754110801916
-7.563032296146133, 1.4772746437304995
-6.530904798043402, 1.5825111729488146
-5.49877729994067, 1.6877477021671297
-4.595665739100788, 1.7798296652331564
-3.692554178260906, 1.871911628299182
-2.659583438738153, 1.9641622396492115
-1.238721646006887, 2.0828906315878233
-0.33392360232696205, 2.1490007589172784
1.2142676448271317, 2.306855552744751
2.505270258875548, 2.4254152963993594
3.536554515558265, 2.5436377434859607
5.084745762712345, 2.7014925373134338
5.600809511763714, 2.7541108019225913